,name,breed,age,size,birthday
0,Mia,Australorp,4,Very Large,2013-11-30
1,Natalie,UnknownBreed,2,Medium,2010-11-01
2,ibrahim,Brahma,6,Very Large,2015-04-23
4,Christopher,Cochin,1,Medium,2022-02-23
5,xessex,Sussex,0,Very Small,2024-10-23
6,Justin,Wyandotte,9,Medium,2017-06-01
8,Randy,Orpington,3,Medium,2017-08-21
9,Christopher,Silkie,6,Large,2023-09-28
10,Nicole,Rhode Island Red,10,Very Large,2019-10-02
11,Jessica,Brahma,9,Small,2015-04-05
16,Yvette,Cochin,1,Very Small,2018-05-12
18,Morgan,Wyandotte,0,Large,2020-05-17
19,Helen,Orpington,1,Medium,2017-07-15
20,Michele,Orpington,3,Very Small,2014-12-15
21,Victoria,Silkie,0,Very Large,2023-09-17
23,Stephanie,Orpington,5,Medium,2024-09-25
24,Michael,Plymouth Rock,1,Medium,2020-08-12
26,Karina,Australorp,5,Medium,2022-07-23
27,Kathy,Wyandotte,9,Very Large,2012-10-17
28,Jason,Brahma,4,Very Large,2010-05-30
29,Valerie,Brahma,3,Very Small,2022-08-27
30,Amy,Sussex,1,Very Large,2022-10-23
31,silky,Silkie,0,Very Small,2022-12-09
34,Robert,UnknownBreed,5,Very Large,2024-09-23
35,Megan,Sussex,3,Medium,2011-02-27
36,wingy,Wyandotte,2,Medium,2016-04-13
38,Stephanie,Sussex,9,Very Small,2024-02-08
40,Beth,Plymouth Rock,2,Very Small,2022-07-24
41,David,Silkie,5,Medium,2017-01-28
42,Barry,Cochin,1,Large,2013-12-18
43,orap,Orpington,6,Large,2022-08-22
46,Jason,Leghorn,6,Small,2022-06-24
47,Jill,Leghorn,8,Medium,2024-04-19
48,akanji,Australorp,3,Very Large,2019-06-24
50,Christine,Orpington,4,Small,2018-09-21
52,brahimi,Brahma,5,Medium,2018-07-12
53,Mark,UnknownBreed,10,Medium,2010-04-17
56,Benjamin,Leghorn,1,Medium,2020-03-08
58,orpanin,Orpington,10,Very Small,2010-10-25
60,Stacie,Leghorn,10,Small,2021-08-18
61,Madison,Leghorn,9,Medium,2020-12-30
62,John,UnknownBreed,7,Medium,2025-07-10
63,Alicia,Cochin,5,Small,2013-10-01
64,Cameron,Australorp,8,Small,2013-02-13
65,Kathleen,Orpington,6,Small,2011-06-08
67,Robert,Brahma,1,Very Small,2018-12-01
68,Angela,Cochin,3,Large,2013-07-06
70,John,Wyandotte,7,Medium,2020-05-04
71,Patrick,Leghorn,0,Very Large,2012-02-07
75,April,Australorp,4,Small,2019-10-22
76,harpo,Orpington,10,Very Large,2013-12-22
77,Mark,Orpington,6,Very Large,2020-01-18
78,oprah,Orpington,3,Very Large,2023-02-04
79,Gina,Australorp,6,Very Small,2013-03-21
80,Angelica,Rhode Island Red,0,Medium,2019-05-12
81,Evan,Orpington,10,Very Large,2022-07-08
82,Sarah,Brahma,7,Very Small,2020-11-17
83,Raymond,Wyandotte,8,Very Large,2014-02-11
85,Billy,UnknownBreed,2,Very Small,2023-05-19
88,Mary,Leghorn,4,Small,2017-01-25
89,Douglas,Australorp,10,Small,2013-08-08
91,Cesar,Leghorn,1,Very Large,2015-01-27
93,Matthew,Brahma,1,Medium,2023-05-28
94,cochy,Cochin,6,Very Large,2013-05-17
95,Pamela,Rhode Island Red,3,Very Large,2014-08-28
96,Derrick,Leghorn,2,Medium,2020-03-10
97,Kimberly,Plymouth Rock,2,Medium,2022-07-02
98,Amanda,UnknownBreed,8,Very Large,2017-05-24
99,Shannon,Wyandotte,2,Very Small,2018-10-14
